station_id,time_sign,x,y,tno2,temp,et,sp,tp,wd,ws,pop,building,road,ndvi,NO2
1,450,114.0201883,22.4449437,89.01756287,294.2138062,-0.008954459,100826.2891,1.20E-05,165.1982422,4.681404591,47.30091095,3953495.75,4815.681152,2061,48
3,450,114.1258166,22.4969545,71.8711319,293.9266357,-0.0326146,100655.1328,2.62E-05,164.9157257,4.514419079,156.3011627,3624076.25,5897.47168,4393,44
4,450,114.3581838,22.4712708,63.08963394,293.4842224,-0.013782601,100927.3281,5.64E-06,171.8407135,5.830658436,2.127234221,199027.9844,417.5441284,-3000,12
5,450,114.2286697,22.309823,68.41825104,293.888092,-0.043660235,100609.5,1.43E-05,178.1529846,6.344327927,571.750061,3221332.75,5677.513184,3076,55
6,450,114.1572091,22.3310969,91.76252747,293.943634,-0.041530814,100444.3984,2.46E-05,175.5754242,5.738457203,557.522583,10587726,6553.90625,3978,63
7,450,114.1269531,22.3568159,101.8455658,293.9817505,-0.04489531,100430.4375,3.69E-05,173.6878662,5.369995594,231.998703,2478207,5969.117676,3131,67
8,450,114.1120975,22.3716276,97.66804504,294.0146484,-0.04334705,100460.7422,3.80E-05,172.3837128,5.178599358,672.036499,5056594,6791.028809,2641,48
9,450,114.256814,22.3182558,65.16518402,293.8356934,-0.04385671,100745.4219,1.40E-05,178.53302,6.508607864,407.3021851,1751836.5,4787.187988,4392,26
10,450,113.9742504,22.3911527,136.8772125,294.3889465,-0.031940196,100958.875,0.00013743,167.6959534,4.962576389,297.4996643,2375346.5,5116.151367,2470,68
11,450,114.1820905,22.3764958,78.86251068,293.8219299,-0.041467477,100423.9688,1.89E-05,173.8140717,5.548179626,146.5195313,3542057.5,5773.041016,4220,34
12,450,114.16871,22.322169,87.08970642,293.9403381,-0.041489724,100458.8281,2.10E-05,176.1806183,5.86568594,747.2966919,14594804,7989.836426,3419,95
13,450,114.1412676,22.2848775,95.7824707,294.0384216,-0.029723814,100531.1016,1.62E-05,176.1920013,5.875536919,878.6085205,9484429,7007.274414,4307,42
14,450,114.1573973,22.2475352,81.57954407,294.0913391,-0.02888483,100603.4844,9.37E-06,177.839798,6.212409019,65.48966217,3044803.5,3876.920654,3862,50
15,450,114.2167934,22.2827772,70.60327148,293.9768066,-0.043870069,100594.5547,1.44E-05,178.6909027,6.403645992,1421.89978,2995995.75,4814.834961,3987,48
16,450,113.9405757,22.2885187,119.2154083,294.526947,-0.018615803,100856.0234,3.59E-05,171.0427399,5.428546429,45.69812012,965836.125,4032.332031,2928,27
17,450,114.1805181,22.2801689,79.6092453,294.0230103,-0.042148568,100549.9063,1.56E-05,177.9293365,6.219205856,429.8672791,7206084,6894.862305,3435,100
18,450,114.1565745,22.2820584,89.18601227,294.033844,-0.034007728,100540.6094,1.55E-05,176.8891144,6.014467239,83.59503174,8509086,8754.413086,3485,82
1,451,114.0201883,22.4449437,127.9142456,294.9914856,-0.007206493,100624.2656,1.27E-05,157.7909546,3.376089573,47.30091095,3953495.75,4815.681152,2061,32
3,451,114.1258166,22.4969545,87.27092743,294.7229004,-0.026677497,100453.2969,4.26E-05,158.0469818,3.255286932,156.3011627,3624076.25,5897.47168,4393,24
4,451,114.3581838,22.4712708,53.20094299,294.26474,-0.011483345,100722.8047,6.40E-05,167.6469269,3.983551502,2.127234221,199027.9844,417.5441284,-3000,5
5,451,114.2286697,22.309823,80.71839142,294.7442627,-0.032419901,100406.4922,0.000285968,174.7990417,4.267534733,571.750061,3221332.75,5677.513184,3076,45
6,451,114.1572091,22.3310969,95.26772308,294.7822876,-0.032869861,100242.8359,0.000164404,170.8930969,3.920915127,557.522583,10587726,6553.90625,3978,41
7,451,114.1269531,22.3568159,100.0539246,294.8053589,-0.035667427,100229.25,0.000100752,168.1924896,3.713314772,231.998703,2478207,5969.117676,3131,45
8,451,114.1120975,22.3716276,104.7211456,294.831665,-0.03450086,100259.5859,7.56E-05,166.4793549,3.607621193,672.036499,5056594,6791.028809,2641,42
9,451,114.256814,22.3182558,71.53003693,294.6892395,-0.030757524,100541.3906,0.000305343,175.5777893,4.363718033,407.3021851,1751836.5,4787.187988,4392,11
10,451,113.9742504,22.3911527,124.1672592,295.1673584,-0.023707515,100756.1875,4.57E-05,160.3157501,3.535135746,297.4996643,2375346.5,5116.151367,2470,37
11,451,114.1820905,22.3764958,81.88587189,294.6513672,-0.034027256,100222.4219,0.000149849,168.9500122,3.814250469,146.5195313,3542057.5,5773.041016,4220,13
12,451,114.16871,22.322169,95.39321136,294.7843018,-0.032667063,100257.1016,0.000193678,171.767868,3.993221998,747.2966919,14594804,7989.836426,3419,73
13,451,114.1412676,22.2848775,88.37458038,294.8807068,-0.022783447,100329.1641,0.000149393,171.6164856,4.002409458,878.6085205,9484429,7007.274414,4307,29
14,451,114.1573973,22.2475352,78.2634964,294.947052,-0.021171499,100401.0469,0.000217267,173.8696289,4.195760727,65.48966217,3044803.5,3876.920654,3862,26
15,451,114.2167934,22.2827772,81.31694794,294.8394775,-0.032747,100391.8047,0.000302338,175.3216553,4.301877022,1421.89978,2995995.75,4814.834961,3987,32
16,451,113.9405757,22.2885187,108.2901917,295.305481,-0.014558105,100653.7109,8.31E-05,164.2339478,3.817456722,45.69812012,965836.125,4032.332031,2928,20
17,451,114.1805181,22.2801689,87.41387177,294.8807983,-0.031864241,100347.6328,0.000274882,174.1040649,4.196967125,429.8672791,7206084,6894.862305,3435,58
18,451,114.1565745,22.2820584,88.49163818,294.8823242,-0.025875475,100338.5234,0.000197346,172.6133575,4.08114481,83.59503174,8509086,8754.413086,3485,58
1,452,114.0201883,22.4449437,210.4696655,296.2776794,-0.004698574,100322.0078,0.000774935,116.1439056,1.894126296,47.30091095,3953495.75,4815.681152,2061,38
3,452,114.1258166,22.4969545,201.8085327,296.1626892,-0.018369023,100148.6484,0.003091273,115.7498932,1.745324254,156.3011627,3624076.25,5897.47168,4393,44
4,452,114.3581838,22.4712708,72.30493927,295.6098022,-0.008387631,100409.8047,0.000413092,129.2097473,1.573907733,2.127234221,199027.9844,417.5441284,-3000,7
5,452,114.2286697,22.309823,133.5119476,295.627594,-0.019199731,100106.7188,0.001529205,144.370163,1.725684404,571.750061,3221332.75,5677.513184,3076,50
6,452,114.1572091,22.3310969,198.1210022,295.6885071,-0.021012664,99945.16406,0.002114502,137.7871552,1.761976957,557.522583,10587726,6553.90625,3978,60
7,452,114.1269531,22.3568159,174.9670258,295.7709045,-0.023205927,99931.83594,0.002667981,133.4204102,1.778319597,231.998703,2478207,5969.117676,3131,66
8,452,114.1120975,22.3716276,160.7596436,295.8583374,-0.022555385,99961.74219,0.002857478,130.5841522,1.783645391,672.036499,5056594,6791.028809,2641,51
